Query,Response
Hi Hello Hey,Hi
What can I do with internet banking?,1. Balance inquiries (Current Savings Loans) 2. View previous transactions 3. Fund Transfer to Own Account Third part BOC accounts Other bank accounts 4. Bill Payments 5.Balance inquiries 6.Statement Download 7.Get loan schedules 8.Online cheque book request and Stop cheque payments 9.Manage your own fund transfer limit online 10.Communication to Bank through secured email
How can I register for internet banking?,1. Visit nearest BOC branch and fill out New Internet and Mobile banking application 2. Download this form and submit the duly filled application to the nearest BOC Branch
Can I use my smart phone or tab to access BOC internet banking?,Yes You can. Download the app from App store or just simply type online.BOC.lk on your mobile browser.
What should I do if I forgot my password?,You can reset your password yourself using Forgot Password link available on login screen.
What should I do if I am locked?,Attempting to login with incorrect password constantly to 3 times will lock the User ID. User Id can be unlocked by using Unlock My User ID link available on login screen.
What should I need to do if phone is lost or mobile number is changed?,Inform immediately to our contact centre on 011 220 4444 to deactivate your User ID. If you change your mobile number please notify the bank in writing of the change and get details updated.
How often I should change the password?,Password will expire after 45 days so you have to change the password before the end of the 45 days period.
Can I transfer funds from my NRFC account to another LKR account? If so what is the applicable exchange rate?, Yes you can. Prevailing NRFC transfer rate will be applied.
How am I protected?, 1. Your User ID will be notified via email and password via SMS which you have provided to Bank of Ceylon at the time of registration. 2. Your User ID also can be changed. 3. One Time Password (OTP) will be sent to your mobile for critical transactions such as change password and adding a third party account. Without OTP nobody is able to do such transactions. 4.To reset your password you will have to remember the answers for the security questions.      
Can you Advise on security tips?, 1. Do not reveal your User ID or password to anyone. 2.If you change your mobile number please notify the bank in writing of the change and get new details updated to continue our service. 3. If you have a suspicion that your User ID and password got known by any person while you were logging to the system change your User ID and Password immediately.
What is the minimum requirement to obtain a BOC Credit card?,Anyone who is above 18 years of age and having a net income Rs. 15000  minimum per month.
Can I use my Credit Card as soon as I receive it?,You have to get your card activated by contacting us on the phone number given at the back of your card.
Why should I have a PIN for the credit card?,1. For cash withdrawals through ATMs 2. When the credit card being used overseas some countries need the PIN to process credit card transactions.
Can I change my PIN?,You can change your PIN through any BOC ATM. We always advice you to do so.
Am I automatically receiving a new Credit Card before it expired?,You will receive a new Credit Card before 30 days of the expiry date.
Where can I use my Credit Card?,1. At any Point of Sale (POS) where merchant accepts Visa   MasterCard Amex 2.For online purchases 3. At ATMs for cash withdrawals (locally or internationally)
Can I use my Credit Card at POS machines belongs to other banks?,Yes
What is the CVV number and what is the purpose of it?,1. CVV is the 3 digit number printed on the reverse of your credit card. 2.CVV is useful for online purchases
How can I check my credit card account balance?,Obtain internet banking (ebanking) facility from Bank of Ceylon and view the balance of the card account online. Request for same via any ATM or Call us on the number provided at the back side of your credit card.
How can I increase or decrease my credit limit?, 1. To Increase  Submit the written request together with latest income statements to the Credit Card Issuing Department. 2. To Decrease  Submit the written request to the Credit Card Issuing Department.
How can I close my BOC Credit Card account?,Hand over a written request to one of our branches or posted to us after paying all dues with interest together with the card punched or broken to two parts.
How do I change my personal details?,Submit a duly signed letter with details of changes.
How can I get my BOC Credit Card Statements?,Monthly statement will be delivered via the post or email.
What is the advantage of SMS alerts?,You can provide us your mobile number to receive SMS alerts for every transaction which allows you to verify the genuineness of the transactions.
What should I do if my credit card is lost or stolen?,You should immediately report this to the Card Centre or Call Centre 1975 or 0112204444. Make a record of your credit card numbers and telephone numbers for reporting lost or stolen cards. Keep that list in a safe place.
What should I do if I suspect there has been a fraudulent activity on my Credit Card?,Call immediately our Call Centre number provided on the reverse of your credit card and inform us of the suspected transaction on your credit card.
How do I set up a standing order to pay my Credit Card account?, You can visit any of our branches and open an account (if not an account holder of BOC). Thereafter you can submit a Standing Order request to set up a standing order facility for your account.
What do I do if my BOC Credit Card is damaged?,Inform our Call Centre using the number provided at the reverse of your credit card or Issuing Department and make a request for a replacement Credit Card
Can I use my BOC Credit Card overseas?,Yes. You can use your BOC credit card at any payment point which accepts Visa and MasterCard as payment networks.
Can I use my BOC Credit Card at any ATM to withdraw cash?,Yes. You can use your BOC credit card at any ATM which accepts Visa and MasterCard to withdraw cash
If I suspect someone has stolen my password or used it to make a fraudulent purchase what should I do?,You should immediately inform to our Call Centre via the number provided at the back side of your Credit Card and change the password.
Can I use the same User ID and Password I used for Online Banking to log in to the new Digital Banking Platform?, Yes.  If you have been migrated (transferred) to new ComBank Digital Platform you can use the same User ID and Password you have been using for Online Banking to access the new ComBank Digital platform.
I have already self registered to ComBank Digital. How should I log in?, If you have already self registered to ComBank Digital please use the User ID  and the password you have created when registering to ComBank Digital.
I received At least one of the authentication elements you entered was invalid or your account is locked What should I do?,First check whether the User Name and Password have been entered correctly (Upper Keys   Lower Keys) Eg If you are a previous Online Banking User who has been upgraded to ComBank Digital you need to type your User ID in CAPITAL LETTERS If you cannot remember your User ID and Password used previously please use Having Trouble Logging in? function.
