Query,Response
Hi Hello Hey வணக்கம் vanakkam,Hi
What can I do with internet banking? இணைய வங்கி மூலம் நான் என்ன செய்ய முடியும்? Iṇaiya vaṅki mūlam nāṉ eṉṉa ceyya muṭiyum?,1. Balance inquiries (Current Savings Loans) 2. View previous transactions 3. Fund Transfer to Own Account Third part BOC accounts Other bank accounts 4. Bill Payments 5.Balance inquiries 6.Statement Download 7.Get loan schedules 8.Online cheque book request and Stop cheque payments 9.Manage your own fund transfer limit online 10.Communication to Bank through secured email
How can I register for internet banking? இணைய வங்கியில் நான் எவ்வாறு பதிவு செய்வது? iṇaiya vaṅkiyil nāṉ evvāṟu pativu ceyvatu?,1. Visit nearest BOC branch and fill out New Internet and Mobile banking application 2. Download this form and submit the duly filled application to the nearest BOC Branch
Can I use my smart phone or tab to access BOC internet banking? BOC இணைய வங்கி அணுக எனது கைபேசிய பயன்படுத்தலாமா? BOC iṉṭarneṭ pēṅkiṅkai aṇuka eṉatu smārṭ pōṉaip payaṉpaṭuttalāmā?,Yes You can. Download the app from App store or just simply type online.BOC.lk on your mobile browser.
What should I do if I forgot my password? நான் எனது கடவுச்சொல்லை மறந்துவிட்டால் நான் என்ன செய்ய வேண்டும்? Nāṉ eṉatu kaṭavuccollai maṟantuviṭṭāl nāṉ eṉṉa ceyya vēṇṭum?,You can reset your password yourself using Forgot Password link available on login screen.
What should I do if I am locked? நான் பூட்டப்பட்டிருந்தால் நான் என்ன செய்ய வேண்டும்? Nāṉ pūṭṭappaṭṭiruntāl nāṉ eṉṉa ceyya vēṇṭum?,Attempting to login with incorrect password constantly to 3 times will lock the User ID. User Id can be unlocked by using Unlock My User ID link available on login screen.
What should I need to do if phone is lost or mobile number is changed? தொலைபேசி தொலைந்துவிட்டாலோ அல்லது மொபைல் எண் மாற்றப்பட்டாலோ நான் என்ன செய்ய வேண்டும்? Tolaipēci tolaintuviṭṭālō allatu mopail eṇ māṟṟappaṭṭālō nāṉ eṉṉa ceyya vēṇṭum?,Inform immediately to our contact centre on 011 220 4444 to deactivate your User ID. If you change your mobile number please notify the bank in writing of the change and get details updated.
How often I should change the password? நான் எவ்வளவு அடிக்கடி கடவுச்சொல்லை மாற்ற வேண்டும்? Nāṉ evvaḷavu aṭikkaṭi kaṭavuccollai māṟṟa vēṇṭum?,Password will expire after 45 days so you have to change the password before the end of the 45 days period.
Can I transfer funds from my NRFC account to another LKR account? If so what is the applicable exchange rate? எனது NRFC கணக்கிலிருந்து வேறொரு LKR கணக்கிற்கு பணத்தை மாற்ற முடியுமா? அப்படியானால் பொருந்தக்கூடிய மாற்று விகிதம் என்ன? Eṉatu NRFC kaṇakkiliruntu vēṟoru LKR kaṇakkiṟku paṇattai māṟṟa muṭiyumā? Appaṭiyāṉāl  poruntakkūṭiya māṟṟu vikitam eṉṉa?, Yes you can. Prevailing NRFC transfer rate will be applied.
How am I protected? நான் எவ்வாறு பாதுகாக்கப்படுகிறேன்? Nāṉ evvāṟu pātukākkappaṭukiṟēṉ?, 1. Your User ID will be notified via email and password via SMS which you have provided to Bank of Ceylon at the time of registration. 2. Your User ID also can be changed. 3. One Time Password (OTP) will be sent to your mobile for critical transactions such as change password and adding a third party account. Without OTP nobody is able to do such transactions. 4.To reset your password you will have to remember the answers for the security questions.      
